game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,game_loc,turnovers_opp,pass_cmp_opp,pass_att_opp,pass_yds_opp,pass_td_opp,rush_att_opp,rush_yds_opp,rush_td_opp,rush_yds_per_att_opp,tot_plays_opp,tot_yds_per_play_opp,first_down_pass_opp,first_down_rush_opp,first_down_penalty_opp,first_down_opp,penalty_opp,penalty_yds_opp,fumbles_lost_opp,pass_int_opp
W (40-14),1,25,35,325,1,51,336,4,6.6,86,7.7,0,14,0,33,4,34,0,1,1,1,9,21,136,1,25,124,1,5.0,46,5.7,1,4,1,11,3,20,1,0
W (31-24),0,25,32,219,2,37,141,2,3.8,69,5.2,0,9,0,19,6,60,0,0,0,2,32,46,378,3,19,14,0,0.7,65,6.0,1,2,1,20,1,15,1,1
W (56-7),0,17,24,226,3,40,205,5,5.1,64,6.7,4,13,4,24,2,19,0,0,1,2,24,35,133,1,26,78,0,3.0,61,3.5,1,5,1,13,9,84,1,1
W (17-3),1,10,23,107,0,42,203,2,4.8,65,4.8,3,10,3,16,5,35,1,0,0,2,14,28,87,0,46,177,0,3.8,74,3.6,0,10,0,14,5,40,1,1
W (40-17),0,10,13,164,0,43,193,3,4.5,56,6.4,0,9,0,17,6,40,0,0,0,3,15,27,107,1,35,154,1,4.4,62,4.2,0,10,0,15,3,15,0,3
W (24-21),0,10,21,238,2,42,177,1,4.2,63,6.6,0,11,0,18,5,45,0,0,1,0,14,24,150,2,36,100,0,2.8,60,4.2,2,5,2,13,2,13,0,0
W (38-30),0,32,44,359,2,31,113,1,3.6,75,6.3,1,7,1,21,14,124,0,0,0,4,24,38,282,3,32,174,1,5.4,70,6.5,6,8,6,27,6,65,1,3
W (42-6),1,30,35,282,3,38,240,3,6.3,73,7.2,4,13,4,30,9,80,0,1,1,0,23,33,159,1,25,40,0,1.6,58,3.4,3,4,3,13,12,106,0,0
L (33-36),0,33,44,337,2,40,204,2,5.1,84,6.4,3,12,3,32,5,55,0,0,0,1,23,38,316,4,23,99,1,4.3,61,6.8,2,6,2,24,5,45,0,1
W (38-15),0,22,30,332,3,35,146,2,4.2,65,7.4,2,9,2,27,1,5,0,0,1,0,16,27,162,0,40,146,2,3.7,67,4.6,0,10,0,17,5,55,0,0
W (31-0),0,26,40,182,4,57,215,0,3.8,97,4.1,2,16,2,28,4,45,0,0,1,4,6,16,56,0,17,20,0,1.2,33,2.3,0,2,0,4,4,28,4,0
W (63-0),2,16,23,162,3,37,246,4,6.6,60,6.8,4,17,4,28,6,60,2,0,1,1,9,23,45,0,39,64,0,1.6,62,1.8,2,5,2,9,9,81,0,1
W (42-17),0,22,28,276,3,35,197,3,5.6,63,7.5,1,12,1,27,9,76,0,0,0,1,25,42,232,1,22,56,1,2.5,64,4.5,4,6,4,20,5,40,1,0
L (35-38),1,17,34,198,1,39,242,4,6.2,73,6.0,4,12,4,25,5,31,0,1,0,2,29,35,422,4,30,106,1,3.5,65,8.1,3,6,3,27,7,60,2,0
